year,player,team,games,points,assists,blocks,rebounds
2010,Tyler Hansbrough,Indiana Pacers,29,246,28,8,138
2010,James Harden,Oklahoma City Thunder,76,753,137,20,244
2010,Al Harrington,New York Knicks,72,1276,110,26,405
2010,Devin Harris,New Jersey Nets,64,1080,423,18,203
2010,Mike Harris,Houston Rockets,8,25,3,1,20
2010,Mike Harris,Washington Wizards,5,4,0,0,4
2010,Jason Hart,Minnesota Timberwolves,1,0,1,0,0
2010,Jason Hart,New Orleans Hurricanes,4,2,5,1,2
2010,Udonis Haslem,Miami Heat,78,771,52,23,629
2010,Trenton Hassell,New Jersey Nets,52,232,50,9,152
2010,Spencer Hawes,Sacramento Kings,72,723,158,83,436
2010,Chuck Hayes,Houston Rockets,82,358,139,43,465
2010,Jarvis Hayes,New Jersey Nets,45,350,40,9,108
2010,Brendan Haywood,Washington Wizards,49,478,18,101,507
2010,Brendan Haywood,Dallas Mavericks,28,226,25,57,208
2010,Luther Head,Indiana Pacers,47,357,72,9,80
2010,Gerald Henderson,Charlotte Hornets,43,113,13,9,55
2010,Roy Hibbert,Indiana Pacers,81,946,158,131,464
2010,J.J. Hickson,Cleveland Cavaliers,81,689,40,39,400
2010,Nene Hilario,Denver Nuggets,82,1135,203,82,627
2010,George Hill,San Antonio Spurs,78,964,226,26,205
2010,Grant Hill,Phoenix Suns,81,912,193,36,445
2010,Jordan Hill,New York Knicks,24,97,7,9,61
2010,Jordan Hill,Houston Rockets,23,147,13,12,114
2010,Kirk Hinrich,Chicago Bulls,74,805,330,24,260
2010,Jrue Holiday,Philadelphia 76ers,73,587,280,18,191
2010,Ryan Hollins,Minnesota Timberwolves,73,447,51,38,207
2010,Al Horford,Atlanta Hawks,81,1148,189,91,799
2010,Eddie House,Boston Celtics,50,358,48,7,69
2010,Eddie House,New York Knicks,18,115,37,0,40
2010,Dwight Howard,Orlando Magic,82,1503,144,228,1082
2010,Josh Howard,Dallas Mavericks,31,388,44,9,112
2010,Josh Howard,Washington Wizards,4,58,4,2,13
2010,Juwan Howard,Portland Trail Blazers,73,437,61,10,335
2010,Lester Hudson,Boston Celtics,16,22,8,2,8
2010,Lester Hudson,Memphis Grizzlies,9,36,5,1,10
2010,Larry Hughes,New York Knicks,31,297,109,11,110
2010,Larry Hughes,Charlotte Hornets,14,114,28,4,32
2010,Kris Humphries,Dallas Mavericks,25,131,7,11,95
2010,Kris Humphries,New Jersey Nets,44,356,25,37,283
2010,Chris Hunter,Golden State Warriors,60,270,37,35,167
2010,Lindsey Hunter,Chicago Bulls,13,13,9,0,14
2010,Othello Hunter,Atlanta Hawks,7,11,0,1,12
2010,Steven Hunter,Memphis Grizzlies,21,53,0,10,42
2010,Serge Ibaka,Oklahoma City Thunder,73,461,10,97,397
2010,Andre Iguodala,Philadelphia 76ers,82,1401,472,55,529
2010,Zydrunas Ilgauskas,Cleveland Cavaliers,64,474,48,50,345
2010,Didier Ilunga-Mbenga,Los Angeles Lakers,49,105,8,29,87
2010,Ersan Ilyasova,Milwaukee Bucks,81,840,84,23,517
2010,Allen Iverson,Memphis Grizzlies,3,37,11,0,4
2010,Allen Iverson,Philadelphia 76ers,25,348,102,2,75
2010,Royal Ivey,Philadelphia 76ers,26,70,17,2,26
2010,Royal Ivey,Milwaukee Bucks,18,23,10,0,8
2010,Jarrett Jack,Toronto Raptors,82,931,413,6,222
2010,Cedric Jackson,Cleveland Cavaliers,5,1,2,0,1
2010,Cedric Jackson,San Antonio Spurs,3,7,6,2,4
2010,Cedric Jackson,Washington Wizards,4,12,6,0,3
2010,Darnell Jackson,Cleveland Cavaliers,27,21,4,4,20
2010,Darnell Jackson,Milwaukee Bucks,1,2,0,0,2
2010,Stephen Jackson,Golden State Warriors,9,149,42,6,35
2010,Stephen Jackson,Charlotte Hornets,72,1518,258,37,366
2010,LeBron James,Cleveland Cavaliers,76,2258,651,77,554
2010,Mike James,Washington Wizards,4,18,5,0,3
2010,Antawn Jamison,Washington Wizards,41,840,52,9,362
2010,Antawn Jamison,Cleveland Cavaliers,25,395,32,12,193
2010,Nathan Jawai,Minnesota Timberwolves,39,124,24,9,104
2010,Othyus Jeffers,Utah Jazz,14,37,1,0,19
2010,Al Jefferson,Minnesota Timberwolves,76,1301,137,98,703
2010,Richard Jefferson,San Antonio Spurs,81,994,158,40,356
2010,Jared Jeffries,New York Knicks,52,284,83,58,223
2010,Jared Jeffries,Houston Rockets,18,88,18,13,65
2010,Brandon Jennings,Milwaukee Bucks,82,1270,470,18,282
2010,Jonas Jerebko,Detroit Pistons,80,741,58,29,478
2010,Yi Jianlian,New Jersey Nets,52,623,47,52,372
2010,Amir Johnson,Toronto Raptors,82,511,48,66,395
2010,Anthony Johnson,Orlando Magic,31,130,63,1,48
2010,James Johnson,Chicago Bulls,65,256,48,43,128
2010,Joe Johnson,Atlanta Hawks,76,1619,369,5,353
2010,Dahntay Jones,Indiana Pacers,76,776,150,39,229
2010,Dwayne Jones,Phoenix Suns,2,0,0,0,2
2010,James Jones,Miami Heat,36,146,17,4,45
2010,Solomon Jones,Indiana Pacers,52,207,32,37,144
2010,DeAndre Jordan,Los Angeles Clippers,70,336,21,62,352
2010,Chris Kaman,Los Angeles Clippers,76,1408,120,94,704
2010,Jason Kapono,Philadelphia 76ers,57,324,39,6,66
2010,Coby Karl,Cleveland Cavaliers,3,0,0,0,2
2010,Coby Karl,Golden State Warriors,4,28,15,1,16
2010,Jason Kidd,Dallas Mavericks,80,824,724,35,445
2010,Andrei Kirilenko,Utah Jazz,58,688,158,71,264
2010,Kyle Korver,Utah Jazz,52,374,89,12,111
2010,Kosta Koufos,Utah Jazz,36,53,6,4,45
2010,Nenad Krstic,Oklahoma City Thunder,76,639,52,45,383
2010,Oliver Lafayette,Boston Celtics,1,7,2,0,4
2010,Carl Landry,Houston Rockets,52,839,40,46,286
2010,Carl Landry,Sacramento Kings,28,504,26,17,182
2010,Marcus Landry,New York Knicks,17,44,0,2,19
2010,Marcus Landry,Boston Celtics,1,0,0,0,0
2010,Acie Law,Golden State Warriors,5,31,7,0,2
2010,Acie Law,Charlotte Hornets,9,16,3,1,1
2010,Acie Law,Chicago Bulls,12,66,16,0,14
2010,Ty Lawson,Denver Nuggets,65,542,203,2,124
2010,Courtney Lee,New Jersey Nets,71,885,121,20,252
2010,David Lee,New York Knicks,81,1640,295,40,949
2010,Rashard Lewis,Orlando Magic,72,1013,107,28,318
2010,Shaun Livingston,Oklahoma City Thunder,10,10,14,2,20
2010,Shaun Livingston,Washington Wizards,26,240,116,9,58
2010,Brook Lopez,New Jersey Nets,82,1542,187,139,709
2010,Robin Lopez,Phoenix Suns,51,430,7,53,248
2010,Kevin Love,Minnesota Timberwolves,60,842,136,23,658
2010,Kyle Lowry,Houston Rockets,68,620,305,9,247
2010,Corey Maggette,Golden State Warriors,70,1387,172,4,373
2010,Jamaal Magloire,Miami Heat,36,77,1,11,121
2010,Ian Mahinmi,San Antonio Spurs,26,101,2,8,52
2010,Shawn Marion,Dallas Mavericks,75,898,107,61,477
2010,Sean Marks,New Orleans Hurricanes,14,10,2,3,23
2010,Cartier Martin,Golden State Warriors,10,90,9,0,47
2010,Cartier Martin,Washington Wizards,8,51,7,1,21
2010,Kenyon Martin,Denver Nuggets,58,667,109,61,546
2010,Kevin Martin,Sacramento Kings,22,436,57,4,94
2010,Kevin Martin,Houston Rockets,24,510,54,2,70
2010,Desmond Mason,Sacramento Kings,5,13,2,1,13
2010,Roger Mason,San Antonio Spurs,79,501,137,14,162
2010,Wesley Matthews,Utah Jazz,82,769,124,15,191
2010,Jason Maxiell,Detroit Pistons,76,513,39,38,401
2010,Sean May,Sacramento Kings,37,123,17,7,70
2010,Eric Maynor,Utah Jazz,26,134,81,2,38
2010,Eric Maynor,Oklahoma City Thunder,55,248,185,8,91
2010,O.J. Mayo,Memphis Grizzlies,82,1432,242,17,311
2010,Luc Mbah,Milwaukee Bucks,73,453,81,39,400
2010,Antonio McDyess,San Antonio Spurs,77,446,83,32,455
2010,JaVale McGee,Washington Wizards,60,386,14,101,243
2010,Tracy McGrady,Houston Rockets,6,19,6,2,5
2010,Tracy McGrady,New York Knicks,24,226,93,12,89
2010,Dominic McGuire,Washington Wizards,41,30,8,3,61
2010,Dominic McGuire,Sacramento Kings,10,8,3,1,18
2010,Josh McRoberts,Indiana Pacers,42,179,44,16,127
2010,Jodie Meeks,Milwaukee Bucks,41,169,22,4,72
2010,Jodie Meeks,Philadelphia 76ers,19,112,17,1,27
2010,Pops Mensah-Bonsu,Houston Rockets,4,5,1,1,4
2010,Pops Mensah-Bonsu,Toronto Raptors,16,34,2,8,31
2010,C.J. Miles,Utah Jazz,63,622,105,17,168
2010,Darko Milicic,New York Knicks,8,16,4,1,18
2010,Darko Milicic,Minnesota Timberwolves,24,199,43,33,133
2010,Andre Miller,Portland Trail Blazers,82,1146,445,9,266
2010,Brad Miller,Chicago Bulls,82,719,154,29,399
2010,Mike Miller,Washington Wizards,54,586,212,12,336
2010,Patty Mills,Portland Trail Blazers,10,26,5,0,2
2010,Paul Millsap,Utah Jazz,82,954,131,99,559
2010,Nazr Mohammed,Charlotte Hornets,58,459,28,43,304
2010,Jamario Moon,Cleveland Cavaliers,61,296,49,30,191
2010,Mikki Moore,Golden State Warriors,23,115,36,13,69
2010,Randolph Morris,Atlanta Hawks,28,62,2,3,38
2010,Adam Morrison,Los Angeles Lakers,31,74,18,2,32
2010,Anthony Morrow,Golden State Warriors,69,899,104,16,259
2010,Byron Mullens,Oklahoma City Thunder,13,14,1,0,10
2010,Troy Murphy,Indiana Pacers,72,1050,150,34,737
2010,Ronald Murray,Charlotte Hornets,46,454,84,12,98
2010,Ronald Murray,Chicago Bulls,29,292,51,4,85
2010,Eduardo Najera,New Jersey Nets,13,49,15,2,38
2010,Eduardo Najera,Dallas Mavericks,33,108,14,12,77
2010,Steve Nash,Phoenix Suns,81,1333,892,12,268
2010,Jameer Nelson,Orlando Magic,65,818,353,2,194
2010,Rasho Nesterovic,Toronto Raptors,42,163,25,17,89
2010,Joakim Noah,Chicago Bulls,64,687,132,100,704
2010,Andres Nocioni,Sacramento Kings,75,635,75,26,222
2010,Steve Novak,Los Angeles Clippers,54,113,6,2,33
2010,Dirk Nowitzki,Dallas Mavericks,81,2027,218,79,620
2010,Patrick O'Bryant,Toronto Raptors,11,19,1,4,11
2010,Jermaine O'Neal,Miami Heat,70,950,92,95,486
2010,Shaquille O'Neal,Cleveland Cavaliers,53,636,80,62,355
2010,Fabricio Oberto,Washington Wizards,57,83,51,9,105
2010,Greg Oden,Portland Trail Blazers,21,233,19,48,178
2010,Lamar Odom,Los Angeles Lakers,82,882,267,59,802
2010,Emeka Okafor,New Orleans Hurricanes,82,850,55,127,742
2010,Mehmet Okur,Utah Jazz,73,988,119,81,515
2010,Kevin Ollie,Oklahoma City Thunder,25,44,20,0,25
2010,Travis Outlaw,Portland Trail Blazers,11,109,8,8,38
2010,Travis Outlaw,Los Angeles Clippers,23,200,26,9,83
2010,Zaza Pachulia,Atlanta Hawks,78,333,42,31,293
2010,Jannero Pargo,Chicago Bulls,63,344,89,2,78
2010,Anthony Parker,Cleveland Cavaliers,81,595,157,18,231
2010,Tony Parker,San Antonio Spurs,56,894,317,8,135
2010,Chris Paul,New Orleans Hurricanes,45,841,480,8,191
2010,Sasha Pavlovic,Minnesota Timberwolves,71,263,58,6,117
2010,Oleksiy Pecherov,Minnesota Timberwolves,44,197,11,14,124
2010,Kendrick Perkins,Boston Celtics,78,791,80,132,595
2010,Morris Peterson,New Orleans Hurricanes,46,327,41,5,126
2010,Johan Petro,Denver Nuggets,36,122,14,13,129
2010,Paul Pierce,Boston Celtics,71,1296,218,31,310
2010,Mickael Pietrus,Orlando Magic,75,651,49,31,215
2010,James Posey,New Orleans Hurricanes,77,399,117,19,329
2010,Leon Powe,Cleveland Cavaliers,20,79,0,2,61
2010,Josh Powell,Los Angeles Lakers,63,169,35,6,116
2010,A.J. Price,Indiana Pacers,56,410,106,3,88
2010,Ronnie Price,Utah Jazz,60,255,123,13,74
2010,Tayshaun Prince,Detroit Pistons,49,661,161,22,248
2010,Joel Przybilla,Portland Trail Blazers,30,123,8,43,238
2010,Chris Quinn,New Jersey Nets,25,56,29,1,16
2010,Vladimir Radmanovic,Charlotte Hornets,8,39,7,1,29
2010,Vladimir Radmanovic,Golden State Warriors,33,217,38,6,149
2010,Anthony Randolph,Golden State Warriors,33,384,42,51,215
2010,Shavlik Randolph,Miami Heat,3,10,0,1,13
2010,Shavlik Randolph,Portland Trail Blazers,3,4,1,0,1
2010,Zach Randolph,Memphis Grizzlies,81,1681,149,34,950
2010,Theo Ratliff,San Antonio Spurs,21,34,9,18,40
2010,Theo Ratliff,Charlotte Hornets,28,144,16,43,117
2010,Michael Redd,Milwaukee Bucks,18,215,39,2,54
2010,J.J. Redick,Orlando Magic,82,788,158,4,155
2010,Chris Richard,Chicago Bulls,18,37,7,4,59
2010,Jason Richardson,Phoenix Suns,79,1239,143,33,404
2010,Quentin Richardson,Miami Heat,76,678,93,18,374
2010,Luke Ridnour,Milwaukee Bucks,82,852,324,7,143
2010,Nate Robinson,New York Knicks,30,397,112,5,72
2010,Nate Robinson,Boston Celtics,26,170,51,0,38
2010,Sergio Rodriguez,Sacramento Kings,39,234,121,3,50
2010,Sergio Rodriguez,New York Knicks,27,200,91,2,39
2010,Rajon Rondo,Boston Celtics,81,1110,794,11,360
2010,Derrick Rose,Chicago Bulls,78,1619,469,27,293
2010,Quinton Ross,Dallas Mavericks,27,54,7,4,27
2010,Quinton Ross,Washington Wizards,25,38,5,2,22
2010,Brandon Roy,Portland Trail Blazers,65,1398,305,16,285
2010,Brandon Rush,Indiana Pacers,82,774,112,65,346
2010,Kareem Rush,Los Angeles Clippers,7,9,4,3,6
2010,John Salmons,Chicago Bulls,51,649,125,22,174
2010,John Salmons,Milwaukee Bucks,30,596,98,4,96
2010,Brian Scalabrine,Boston Celtics,52,78,27,4,48
2010,Luis Scola,Houston Rockets,82,1329,169,26,705
2010,Thabo Sefolosha,Oklahoma City Thunder,82,489,145,46,387
2010,Ramon Sessions,Minnesota Timberwolves,82,674,258,5,214
2010,Bobby Simmons,New Jersey Nets,23,122,15,3,63
2010,James Singleton,Dallas Mavericks,25,59,9,7,55
2010,James Singleton,Washington Wizards,32,195,22,36,221
2010,Brian Skinner,Los Angeles Clippers,16,26,0,4,27
2010,Craig Smith,Los Angeles Clippers,75,585,84,25,287
2010,J.R. Smith,Denver Nuggets,75,1156,183,20,234
2010,Jason Smith,Philadelphia 76ers,56,189,33,28,135
2010,Joe Smith,Atlanta Hawks,64,194,21,19,157
2010,Josh Smith,Atlanta Hawks,81,1269,342,172,705
2010,Darius Songaila,New Orleans Hurricanes,75,543,70,14,232
2010,Marreese Speights,Philadelphia 76ers,62,532,36,34,252
2010,Jerry Stackhouse,Milwaukee Bucks,42,358,70,9,100
2010,DeShawn Stevenson,Washington Wizards,40,87,44,5,65
2010,DeShawn Stevenson,Dallas Mavericks,24,49,12,1,26
2010,Peja Stojakovic,New Orleans Hurricanes,62,784,92,5,227
2010,Amar'e Stoudemire,Phoenix Suns,82,1896,82,83,732
2010,Rodney Stuckey,Detroit Pistons,73,1215,348,12,281
2010,DaJuan Summers,Detroit Pistons,44,134,16,7,45
2010,Jermaine Taylor,Houston Rockets,31,128,16,3,46
2010,Jeff Teague,Atlanta Hawks,71,228,122,11,67
2010,Sebastian Telfair,Los Angeles Clippers,39,169,114,5,41
2010,Sebastian Telfair,Cleveland Cavaliers,4,39,12,0,4
2010,Garrett Temple,Houston Rockets,9,45,7,4,14
2010,Garrett Temple,Sacramento Kings,5,11,2,0,3
2010,Garrett Temple,San Antonio Spurs,13,80,12,2,14
