year,player,team,games,points,assists,blocks,rebounds
2000,Kevin Garnett,Minnesota Timberwolves,81,1857,401,126,956
2000,Dean Garrett,Minnesota Timberwolves,56,114,19,40,140
2000,Kiwane Garris,Orlando Magic,3,4,2,0,1
2000,Pat Garrity,Orlando Magic,82,675,58,19,210
2000,Chris Gatling,Orlando Magic,45,598,40,10,297
2000,Chris Gatling,Denver Nuggets,40,416,31,13,205
2000,Matt Geiger,Philadelphia 76ers,65,629,39,22,387
2000,Devean George,Los Angeles Lakers,49,155,12,4,75
2000,Kendall Gill,New Jersey Nets,76,993,210,41,283
2000,Armen Gilliam,Utah Jazz,50,333,42,16,209
2000,Dion Glover,Atlanta Hawks,30,195,27,4,38
2000,Brian Grant,Portland Trail Blazers,63,459,64,28,344
2000,Gary Grant,Portland Trail Blazers,3,12,1,0,3
2000,Horace Grant,Seattle Supersonics,76,612,188,60,591
2000,Devin Gray,Houston Rockets,21,49,5,3,25
2000,A.C. Green,Los Angeles Lakers,82,413,80,18,486
2000,Adrian Griffin,Boston Celtics,72,485,177,15,372
2000,Tom Gugliotta,Phoenix Suns,54,738,124,31,425
2000,Darvin Ham,Milwaukee Bucks,35,177,42,29,172
2000,Richard Hamilton,Washington Wizards,71,639,108,6,129
2000,Thomas Hamilton,Houston Rockets,22,82,15,14,90
2000,Tom Hammonds,Minnesota Timberwolves,56,117,10,3,101
2000,Anfernee Hardaway,Phoenix Suns,60,1015,315,38,347
2000,Tim Hardaway,Miami Heat,52,696,385,4,150
2000,Ron Harper,Los Angeles Lakers,80,557,270,39,337
2000,Matt Harpring,Orlando Magic,4,16,8,1,12
2000,Al Harrington,Indiana Pacers,50,328,38,9,159
2000,Othella Harrington,Vancouver Grizzlies,82,1076,97,58,563
2000,Lucious Harris,New Jersey Nets,77,513,100,6,187
2000,Antonio Harvey,Portland Trail Blazers,19,41,5,6,33
2000,Hersey Hawkins,Chicago Bulls,61,480,134,15,175
2000,Michael Hawkins,Chicago Hustle,12,8,13,0,7
2000,Alan Henderson,Atlanta Hawks,82,1083,77,54,571
2000,Cedric Henderson,Cleveland Cavaliers,61,328,55,17,140
2000,Mark Hendrickson,Cleveland Cavaliers,10,12,3,1,11
2000,Mark Hendrickson,New Jersey Nets,5,1,3,0,2
2000,Chris Herren,Denver Nuggets,45,141,111,2,52
2000,Grant Hill,Detroit Pistons,74,1906,385,43,490
2000,Tyrone Hill,Philadelphia 76ers,68,815,52,27,625
2000,Fred Hoiberg,Chicago Bulls,31,279,85,2,110
2000,Derek Hood,Chicago Hustle,2,0,0,0,1
2000,Jeff Hornacek,Utah Jazz,77,953,202,16,182
2000,Robert Horry,Los Angeles Lakers,76,436,118,80,361
2000,Allan Houston,New York Knicks,82,1614,224,14,271
2000,Juwan Howard,Washington Wizards,82,1220,247,21,470
2000,Troy Hudson,Los Angeles Clippers,62,545,242,0,148
2000,Larry Hughes,Philadelphia 76ers,50,501,75,12,159
2000,Larry Hughes,Golden State Warriors,32,725,130,16,190
2000,Rick Hughes,Dallas Mavericks,21,82,9,1,49
2000,Lindsey Hunter,Detroit Pistons,82,1043,327,22,250
2000,Allen Iverson,Philadelphia 76ers,70,1989,328,5,267
2000,Bobby Jackson,Minnesota Timberwolves,73,369,172,7,153
2000,Jaren Jackson,San Antonio Spurs,81,513,118,7,181
2000,Jermaine Jackson,Detroit Pistons,7,7,4,0,11
2000,Jim Jackson,Atlanta Hawks,79,1317,230,10,394
2000,Mark Jackson,Indiana Pacers,81,660,650,10,296
2000,Randell Jackson,Dallas Mavericks,1,0,0,0,0
2000,Sam Jacobson,Los Angeles Lakers,3,10,2,0,1
2000,Sam Jacobson,Golden State Warriors,49,245,30,3,70
2000,Tim James,Miami Heat,4,11,2,3,4
2000,Antawn Jamison,Golden State Warriors,43,841,90,15,359
2000,Harold Jamison,Miami Heat,12,18,4,1,21
2000,Anthony Johnson,Atlanta Hawks,38,92,59,2,39
2000,Anthony Johnson,Orlando Magic,18,62,13,2,12
2000,Avery Johnson,San Antonio Spurs,82,919,491,18,158
2000,DeMarco Johnson,New York Knicks,5,6,0,0,7
2000,Ervin Johnson,Milwaukee Bucks,80,383,44,127,648
2000,Kevin Johnson,Phoenix Suns,6,40,24,0,16
2000,Larry Johnson,New York Knicks,70,750,175,7,380
2000,Charles Jones,Los Angeles Clippers,56,188,94,5,62
2000,Damon Jones,Golden State Warriors,13,68,39,0,16
2000,Damon Jones,Dallas Mavericks,42,165,57,1,39
2000,Eddie Jones,Chicago Hustle,72,1446,305,49,343
2000,Jumaine Jones,Philadelphia 76ers,33,57,5,5,38
2000,Popeye Jones,Denver Nuggets,40,104,19,6,103
2000,Reggie Jordan,Washington Wizards,36,41,32,2,41
2000,Adam Keefe,Utah Jazz,62,135,34,13,136
2000,Shawn Kemp,Cleveland Cavaliers,82,1463,138,96,725
2000,Steve Kerr,San Antonio Spurs,32,89,12,0,19
2000,Jerome Kersey,San Antonio Spurs,72,321,69,47,225
2000,Lari Ketner,Chicago Bulls,6,10,1,1,7
2000,Lari Ketner,Cleveland Cavaliers,16,24,0,2,27
2000,Jason Kidd,Phoenix Suns,67,959,678,28,483
2000,Gerard King,Washington Wizards,62,327,49,15,250
2000,Kerry Kittles,New Jersey Nets,62,807,142,19,225
2000,Joe Kleine,Portland Trail Blazers,7,11,2,0,6
2000,Brevin Knight,Cleveland Cavaliers,65,602,458,21,193
2000,Travis Knight,Los Angeles Lakers,63,109,23,23,129
2000,Toni Kukoc,Chicago Bulls,24,432,124,19,130
2000,Toni Kukoc,Philadelphia 76ers,32,398,141,9,143
2000,Christian Laettner,Detroit Pistons,82,1002,186,45,553
