name,yearOfBirth,birthCity,birthState,college
Deron Williams,1984,Parkersburg,West Virginia,University of Illinois at Urbana-Champaign
Antoine Wright,1984,West Covina,California,Texas A&M University
Hassan Adams,1984,Inglewood,California,University of Arizona
Maurice Ager,1984,Detroit,Michigan,Michigan State University
Hilton Armstrong,1984,Peekskill,New York,University of Connecticut
James Augustine,1984,Midlothian,Illinois,University of Illinois at Urbana-Champaign
Renaldo Balkman,1984,Staten Island,New York,University of South Carolina
J.J. Barea,1984,,,
Josh Boone,1984,Mount Airy,Maryland,University of Connecticut
Rodney Carney,1984,Memphis,Tennessee,University of Memphis
Mardy Collins,1984,Philadelphia,Pennsylvania,Temple University
Paul Davis,1984,Detroit,Michigan,Michigan State University
Quincy Douby,1984,Brooklyn,New York,Rutgers University
Mike Hall,1984,Chicago,Illinois,George Washington University
Robert Hite,1984,Cincinnati,Ohio,University of Miami
Ryan Hollins,1984,Pasadena,California,"University of California, Los Angeles"
Mile Ilic,1984,Tuzla,Bosnia and Herzegovina,
Solomon Jones,1984,Eustis,Florida,University of South Florida
Tarence Kinsey,1984,Tampa,Florida,University of South Carolina
Chris McCray,1984,Capitol Heights,Maryland,University of Maryland
Adam Morrison,1984,Glendive,Montana,Gonzaga University
David Noel,1984,Durham,North Carolina,University of North Carolina
Leon Powe,1984,Berkeley,California,University of California
Allan Ray,1984,Bronx,New York,Villanova University
J.J. Redick,1984,,,
Jeremy Richardson,1984,Allentown,Pennsylvania,Delta State University
Brandon Roy,1984,Seattle,Washington,University of Washington
Thabo Sefolosha,1984,Vevey,Switzerland,
Mouhamed Sene,1984,,,
Justin Williams,1984,Chicago,Illinois,University of Wyoming
Blake Ahearn,1984,St. Louis,Missouri,Missouri State University
Jermareo Davidson,1984,Atlanta,Georgia,University of Alabama
Marcin Gortat,1984,Lodz,Poland,
Aaron Gray,1984,Tarzana,California,University of Pittsburgh
Demetris Nichols,1984,Boston,Massachusetts,Syracuse University
Chris Richard,1984,Lakeland,Florida,University of Florida
Cheikh Samb,1984,Senegal,,
Darryl Watkins,1984,Paterson,New Jersey,Syracuse University
C.J. Watson,1984,,,
Trey Johnson,1984,Jackson,Mississippi,Jackson State University
Cartier Martin,1984,Crockett,Texas,Kansas State University
O.J. Mayo,1984,,,
Luc Mbah,1984,,,
Roko Ukic,1984,Split,Croatia,
Henry Walker,1984,,,
Lester Hudson,1984,Memphis,Tennessee,University of Tennessee at Martin
Chris Hunter,1984,Gary,Indiana,University of Michigan
Oliver Lafayette,1984,Baton Rouge,Louisiana,University of Houston
Zabian Dowdell,1984,Pahokee,Florida,Virginia Polytechnic Institute and State University
Gary Neal,1984,Baltimore,Maryland,Towson University
Mustafa Shakur,1984,Philadelphia,Pennsylvania,University of Arizona
Derrick Byars,1984,Memphis,Tennessee,Vanderbilt University
Eric Dawson,1984,San Antonio,Texas,Midwestern State University
Ivan Johnson,1984,San Antonio,Texas,University of Oregon
Derrick Williams,1984,Parkersburg,West Virginia,University of Illinois at Urbana-Champaign
Chris Copeland,1984,Orange,New Jersey,University of Colorado
Maciej Lampe,1985,Lodz,Poland,
Darko Milicic,1985,Novi Sad,Serbia,
Trevor Ariza,1985,Miami,Florida,"University of California, Los Angeles"
Jackie Butler,1985,McComb,Mississippi,
Luol Deng,1985,Wow,South Sudan,Duke University
Dwight Howard,1985,Atlanta,Georgia,
Kris Humphries,1985,Minneapolis,Minnesota,University of Minnesota
Al Jefferson,1985,Monticello,Mississippi,
Shaun Livingston,1985,Peoria,Illinois,
Pavel Podkolzin,1985,Novosibirsk,Russia,
Peter John,1985,,,
Ha Seung-Jin,1985,Seoul,Republic of Korea,
Robert Swift,1985,Bakersfield,California,
Sebastian Telfair,1985,Brooklyn,New York,
Dorell Wright,1985,Los Angeles,California,
Brandon Bass,1985,Baton Rouge,Louisiana,Louisiana State University
Monta Ellis,1985,Jackson,Mississippi,
Linas Kleiza,1985,Kaunas,Lithuania,University of Missouri
Chris Paul,1985,Winston-Salem,North Carolina,Wake Forest University
Chris Taft,1985,Brooklyn,New York,University of Pittsburgh
Von Wafer,1985,Homer,Louisiana,Florida State University
LaMarcus Aldridge,1985,Dallas,Texas,University of Texas at Austin
Andrea Bargnani,1985,Rome,Italy,
Shannon Brown,1985,Maywood,Illinois,Michigan State University
Damir Markota,1985,Sarajevo,Bosnia and Herzegovina,
Paul Millsap,1985,Monroe,Louisiana,Louisiana Tech University
Arron Afflalo,1985,Los Angeles,California,"University of California, Los Angeles"
Morris Almond,1985,Dalton,Georgia,Rice University
Aaron Brooks,1985,Seattle,Washington,University of Oregon
Guillermo Diaz,1985,San Juan,Puerto Rico,University of Miami
Jared Dudley,1985,San Diego,California,Boston College
Nick Fazekas,1985,Denver,Colorado,"University of Nevada, Reno"
Thomas Gardner,1985,Portland,Oregon,University of Missouri
Acie Law,1985,Dallas,Texas,Texas A&M University
Dominic McGuire,1985,San Diego,California,"California State University, Fresno"
Joakim Noah,1985,New York,New York,University of Florida
Oleksiy Pecherov,1985,Donetsk,Ukraine,
Kosta Perovic,1985,Osijek,Croatia,
Darius Washington,1985,Winter Park,Florida,University of Memphis
Nick Young,1985,Los Angeles,California,University of Southern California
Rudy Fernandez,1985,Palma de Mallorca,Spain,
Marc Gasol,1985,Barcelona,Spain,
J.R. Giddens,1985,,,
Hamed Haddadi,1985,Ahvaz,Islamic Republic of Iran,
Steven Hill,1985,Chanute,Kansas,University of Arkansas
Darnell Jackson,1985,Oklahoma City,Oklahoma,University of Kansas
Rob Kurz,1985,Philadelphia,Pennsylvania,University of Notre Dame
Courtney Lee,1985,Indianapolis,Indiana,Western Kentucky University
Anthony Morrow,1985,Charlotte,North Carolina,Georgia Institute of Technology
DeMarcus Nelson,1985,Oakland,California,Duke University
Brandon Rush,1985,Kansas City,Missouri,University of Kansas
Sean Singletary,1985,Philadelphia,Pennsylvania,University of Virginia
Anthony Tolliver,1985,Springfield,Missouri,Creighton University
Sun Yue,1985,Hebei,China,
Taj Gibson,1985,Brooklyn,New York,University of Southern California
Trey Gilder,1985,Dallas,Texas,Northwestern State University
Tyler Hansbrough,1985,Poplar Bluff,Missouri,University of North Carolina
Othyus Jeffers,1985,Chicago,Illinois,Robert Morris University (IL)
Marcus Landry,1985,Milwaukee,Wisconsin,University of Wisconsin
Patty Mills,1985,Monroe,Louisiana,Louisiana Tech University
Sam Young,1985,Washington,District of Columbia,University of Pittsburgh
Gary Forbes,1985,Colon,Panama,University of Massachusetts Amherst
Tiago Splitter,1985,Joinville,Brazil,
Gustavo Ayon,1985,Tepic,Mexico,
Justin Dentmon,1985,Carbondale,Illinois,University of Washington
Greg Stiemsma,1985,Randolph,Wisconsin,University of Wisconsin
Bernard James,1985,Savannah,Georgia,Florida State University
Brian Roberts,1985,Toledo,Ohio,University of Dayton
Mirza Teletovic,1985,Mostar,Bosnia and Herzegovina,
Sasha Kaun,1985,Tomsk,Russia,University of Kansas
Andris Biedrins,1986,Riga,Latvia,
Martynas Andriuskevicius,1986,Kaunas,Lithuania,
Andray Blatche,1986,Syracuse,New York,
Gerald Green,1986,Houston,Texas,
Johan Petro,1986,Paris,France,
Jordan Farmar,1986,Los Angeles,California,"University of California, Los Angeles"
Rudy Gay,1986,Brooklyn,New York,University of Connecticut
Daniel Gibson,1986,Houston,Texas,University of Texas at Austin
Kyle Lowry,1986,Philadelphia,Pennsylvania,Villanova University
Randolph Morris,1986,Houston,Texas,University of Kentucky
Patrick O'Bryant,1986,Oskaloosa,Iowa,Bradley University
Sergio Rodriguez,1986,Tenerife,Spain,
Rajon Rondo,1986,Louisville,Kentucky,University of Kentucky
Cedric Simmons,1986,Shallotte,North Carolina,North Carolina State University
Tyrus Thomas,1986,Baton Rouge,Louisiana,Louisiana State University
P.J. Tucker,1986,,,
Marcus Vinicius,1986,,,
Marco Belinelli,1986,Bologna,Italy,
Corey Brewer,1986,Portland,Tennessee,University of Florida
Glen Davis,1986,Baton Rouge,Louisiana,Louisiana State University
Kyrylo Fesenko,1986,Dnepropetrovsk,Ukraine,
Taurean Green,1986,Fort Lauderdale,Florida,University of Florida
Al Horford,1986,Puerto Plata,Dominican Republic,University of Florida
Ian Mahinmi,1986,Rouen,France,
Gabe Pruitt,1986,Los Angeles,California,University of Southern California
Ramon Sessions,1986,Myrtle Beach,South Carolina,"University of Nevada, Reno"
Rodney Stuckey,1986,Seattle,Washington,Eastern Washington University
Sean Williams,1986,Houston,Texas,Boston College
Joe Alexander,1986,Kaohsiung,Taiwan,West Virginia University
Mario Chalmers,1986,Anchorage,Alaska,University of Kansas
Joe Crawford,1986,Detroit,Michigan,University of Kentucky
Goran Dragic,1986,Ljubljana,Slovenia,
Roy Hibbert,1986,Queens,New York,Georgetown University
J.J. Hickson,1986,,,
George Hill,1986,Indianapolis,Indiana,Indiana University-Purdue University Indianapolis
Othello Hunter,1986,Winston-Salem,North Carolina,Ohio State University
Nathan Jawai,1986,Sydney,Australia,Midland College
Walter Sharpe,1986,Huntsville,Alabama,University of Alabama at Birmingham
Mike Taylor,1986,Chicago,Illinois,Iowa State University
Kyle Weaver,1986,Janesville,Wisconsin,Washington State University
Sonny Weems,1986,West Memphis,Arkansas,University of Arkansas
DeMarre Carroll,1986,Birmingham,Alabama,University of Missouri
JamesOn Curry,1986,Pleasant Grove,North Carolina,Oklahoma State University
Toney Douglas,1986,Jonesboro,Georgia,Florida State University
Sundiata Gaines,1986,Jamaica,New York,University of Georgia
Taylor Griffin,1986,Oklahoma City,Oklahoma,University of Oklahoma
Cedric Jackson,1986,Alamogordo,New Mexico,Cleveland State University
Garrett Temple,1986,Baton Rouge,Louisiana,Louisiana State University
Jeff Adrien,1986,Brookline,Massachusetts,University of Connecticut
Omer Asik,1986,Bursa,Turkey,
Marcus Cousin,1986,Baltimore,Maryland,University of Houston
Jordan Crawford,1986,Detroit,Michigan,University of Kentucky
Semih Erden,1986,Istanbul,Turkey,
Lazar Hayward,1986,Buffalo,New York,Marquette University
Timofey Mozgov,1986,St. Petersburg,Russia,
Nikola Pekovic,1986,Bijelo Polje,Montenegro,
Andy Rautins,1986,Syracuse,New York,Syracuse University
Garret Siler,1986,Augusta,Georgia,Augusta State University
Mickell Gladness,1986,Birmingham,Alabama,Alabama A&M University
Jerome Jordan,1986,Kingston,Jamaica,University of Tulsa
Vernon Macklin,1986,Portsmouth,Virginia,University of Florida
E'Twaun Moore,1986,,,
Jeremy Pargo,1986,Chicago,Illinois,Gonzaga University
Ryan Reid,1986,Lauderdale Lakes,Florida,Florida State University
Edwin Ubiles,1986,Brooklyn,New York,Siena College
Josh Akognon,1986,Greenbrae,California,"California State University, Fullerton"
Aron Baynes,1986,Gisborne,New Zealand,Washington State University
Dionte Christmas,1986,Philadelphia,Pennsylvania,Temple University
Damjan Rudez,1986,Zagreb,Croatia,
Salah Mejri,1986,Jendouba,Tunisia,
Andrew Bynum,1987,Plainsboro,New Jersey,
Amir Johnson,1987,Los Angeles,California,
Yaroslav Korolev,1987,Moscow,Russia,
Ersan Ilyasova,1987,Eskisehir,Turkey,
Wilson Chandler,1987,Benton Harbor,Michigan,DePaul University
Mike Conley,1987,Fayetteville,Arkansas,Ohio State University
Javaris Crittenton,1987,Atlanta,Georgia,Georgia Institute of Technology
Yi Jianlian,1987,He Shan,China,
Josh McRoberts,1987,Indianapolis,Indiana,Duke University
Julian Wright,1987,Chicago,Illinois,University of Kansas
Chris Douglas-Roberts,1987,Detroit,Michigan,University of Memphis
Malik Hairston,1987,Detroit,Michigan,University of Oregon
Marreese Speights,1987,St. Petersburg,Florida,University of Florida
Jon Brockman,1987,Snohomish,Washington,University of Washington
Darren Collison,1987,Rancho Cucamonga,California,"University of California, Los Angeles"
Dante Cunningham,1987,Clinton,Maryland,Villanova University
Wayne Ellington,1987,Wynnewood,Pennsylvania,University of North Carolina
Alonzo Gee,1987,Riviera Beach,Florida,University of Alabama
Jordan Hill,1987,Atlanta,Georgia,University of Arizona
Jonas Jerebko,1987,Kinna,Sweden,
James Johnson,1987,Cheyenne,Wyoming,Wake Forest University
Ty Lawson,1987,Clinton,Maryland,University of North Carolina
Eric Maynor,1987,Raeford,North Carolina,Virginia Commonwealth University
Jodie Meeks,1987,Norcross,Georgia,University of Kentucky
Hasheem Thabeet,1987,Dar es Salaam,United Republic of Tanzania,University of Connecticut
Marcus Thornton,1987,Baton Rouge,Louisiana,Louisiana State University
Terrence Williams,1987,Seattle,Washington,University of Louisville
Trevor Booker,1987,Newberry,South Carolina,Clemson University
Craig Brackins,1987,Los Angeles,California,Iowa State University
Sherron Collins,1987,Chicago,Illinois,University of Kansas
Jeremy Evans,1987,Crossett,Arkansas,Western Kentucky University
Damion James,1987,Hobbs,New Mexico,University of Texas at Austin
Wesley Johnson,1987,Corsicana,Texas,Syracuse University
Hamady N'Diaye,1987,Dakar,Senegal,Rutgers University
Ekpe Udoh,1987,Edmond,Oklahoma,Baylor University
Greivis Vasquez,1987,Caracas,Venezuela,University of Maryland
Jerome Dyson,1987,Rockville,Maryland,University of Connecticut
Jeff Foote,1987,Lockwood,New York,Cornell University
Terrel Harris,1987,Dallas,Texas,Oklahoma State University
Darington Hobson,1987,Las Vegas,Nevada,University of New Mexico
JaJuan Johnson,1987,Cheyenne,Wyoming,Wake Forest University
Jerry Smith,1987,Wauwatosa,Wisconsin,University of Louisville
Joel Freeland,1987,Farnham,United Kingdom,
Ben Hansbrough,1987,Poplar Bluff,Missouri,University of Notre Dame
Viacheslav Kravtsov,1987,Odessa,Ukraine,
Luke Zeller,1987,Ames,Iowa,University of Notre Dame
Luigi Datome,1987,Montebelluna,Italy,
Shane Edwards,1987,Los Angeles,California,University of Arkansas at Little Rock
Arinze Onuaku,1987,Lanham,Maryland,Syracuse University
Joe Ingles,1987,Happy Valley,Australia,
Jerel McNeal,1987,Chicago,Illinois,Marquette University
Elijah Millsap,1987,Grambling,Louisiana,University of Alabama at Birmingham
Alex Stepheson,1987,Los Angeles,California,University of Southern California
Jonathan Gibson,1987,West Covina,California,New Mexico State University
Kevin Durant,1988,Washington,District of Columbia,University of Texas at Austin
Spencer Hawes,1988,Seattle,Washington,University of Washington
Thaddeus Young,1988,New Orleans,Louisiana,Georgia Institute of Technology
Alexis Ajinca,1988,Saint-Etienne,France,
Ryan Anderson,1988,Sacramento,California,University of California
Darrell Arthur,1988,Dallas,Texas,University of Kansas
D.J. Augustin,1988,,,
Nicolas Batum,1988,Lisieux,France,
Jerryd Bayless,1988,Phoenix,Arizona,University of Arizona
Danilo Gallinari,1988,Sant'Angelo Lodigiano,Italy,
Eric Gordon,1988,Indianapolis,Indiana,Indiana University
Donte Greene,1988,Munich,Germany,Syracuse University
DeAndre Jordan,1988,Houston,Texas,Texas A&M University
Brook Lopez,1988,North Hollywood,California,Stanford University
Robin Lopez,1988,North Hollywood,California,Stanford University
Kevin Love,1988,Santa Monica,California,"University of California, Los Angeles"
JaVale McGee,1988,Flint,Michigan,"University of Nevada, Reno"
Greg Oden,1988,Buffalo,New York,Ohio State University
Derrick Rose,1988,Chicago,Illinois,University of Memphis
Russell Westbrook,1988,Long Beach,California,"University of California, Los Angeles"
D.J. White,1988,,,
Rodrigue Beaubois,1988,Pointe-a-Pitre,Guadeloupe,
Chase Budinger,1988,Encinitas,California,University of Arizona
Omri Casspi,1988,Holon,Israel,
Earl Clark,1988,Plainfield,New Jersey,University of Louisville
Stephen Curry,1988,Akron,Ohio,Davidson College
Austin Daye,1988,Irvine,California,Gonzaga University
DaJuan Summers,1988,Baltimore,Maryland,Georgetown University
Jeff Teague,1988,Indianapolis,Indiana,Wake Forest University
Solomon Alabi,1988,Kaduna,Nigeria,Florida State University
Cole Aldrich,1988,Burnsville,Minnesota,University of Kansas
Derrick Caracter,1988,Fanwood,New Jersey,University of Texas at El Paso
Landry Fields,1988,Long Beach,California,Stanford University
Luke Harangody,1988,Decatur,Illinois,University of Notre Dame
Gani Lawal,1988,College Park,Georgia,Georgia Institute of Technology
Jeremy Lin,1988,Palo Alto,California,Harvard University
Dexter Pittman,1988,Rosenberg,Texas,University of Texas at Austin
Quincy Pondexter,1988,Fresno,California,University of Washington
Larry Sanders,1988,Fort Pierce,Florida,Virginia Commonwealth University
Ish Smith,1988,Charlotte,North Carolina,Wake Forest University
Pape Sy,1988,Loudeac,France,
Evan Turner,1988,Chicago,Illinois,Ohio State University
Ben Uzoh,1988,Houston,Texas,University of Tulsa
Norris Cole,1988,Dayton,Ohio,Cleveland State University
Courtney Fortson,1988,San Antonio,Texas,University of Arkansas
Andrew Goudelock,1988,Gainesville,Georgia,College of Charleston
Dennis Horner,1988,Linwood,New Jersey,North Carolina State University
DeAndre Liggins,1988,Chicago,Illinois,University of Kentucky
Chandler Parsons,1988,Casselberry,Florida,University of Florida
Xavier Silas,1988,San Antonio,Texas,Northern Illinois University
Donald Sloan,1988,Shreveport,Louisiana,Texas A&M University
Nolan Smith,1988,Louisville,Kentucky,Duke University
Julyan Stone,1988,Alexandria,Virginia,University of Texas at El Paso
Lance Thomas,1988,Brooklyn,New York,Duke University
Malcolm Thomas,1988,Columbia,Missouri,San Diego State University
Chris Wright,1988,Trotwood,Ohio,University of Dayton
Patrick Beverley,1988,Chicago,Illinois,University of Arkansas
Victor Claver,1988,Valencia,Spain,
Kim English,1988,Baltimore,Maryland,University of Missouri
Kris Joseph,1988,Montreal,Canada,Syracuse University
Tim Ohlbrecht,1988,Wuppertal,Germany,
Miles Plumlee,1988,Fort Wayne,Indiana,Duke University
Mike Scott,1988,Chesapeake,Virginia,University of Virginia
Alexey Shved,1988,Belgorod,Russia,
Kyle Singler,1988,Medford,Oregon,Duke University
Jarvis Varnado,1988,Fairfax,Virginia,Mississippi State University
Vitor Faverani,1988,Porto Alegre,Brazil,
Jorge Gutierrez,1988,Chihuahua,Mexico,University of California
Gal Mekel,1988,Petah Tikva,Israel,Wichita State University
Miroslav Raduljica,1988,Belgrade,Serbia,
Patrick Christopher,1988,Compton,California,University of California
Nemanja Bjelica,1988,Belgrade,Serbia,
Boban Marjanovic,1988,Zajecar,Serbia,
Michael Beasley,1989,Frederick,Maryland,Kansas State University
Kosta Koufos,1989,Canton,Ohio,Ohio State University
Anthony Randolph,1989,Worzbach,Germany,Louisiana State University
DeJuan Blair,1989,Pittsburgh,Pennsylvania,University of Pittsburgh
DeMar DeRozan,1989,Compton,California,University of Southern California
Tyreke Evans,1989,Chester,Pennsylvania,University of Memphis
Jonny Flynn,1989,Niagara Falls,New York,Syracuse University
James Harden,1989,Los Angeles,California,Arizona State University
Serge Ibaka,1989,Brazzaville,Republic of the Congo,
Brandon Jennings,1989,Compton,California,
Byron Mullens,1989,Canal Winchester,Ohio,Ohio State University
A.J. Price,1989,,,
James Anderson,1989,El Dorado,Arkansas,Oklahoma State University
Luke Babbitt,1989,Cincinnati,Ohio,"University of Nevada, Reno"
Eric Bledsoe,1989,Birmingham,Alabama,University of Kentucky
Ed Davis,1989,Washington,District of Columbia,University of North Carolina
Devin Ebanks,1989,Queens,New York,West Virginia University
Christian Eyenga,1989,Kinshasa,Democratic Republic of the Congo,
Blake Griffin,1989,Oklahoma City,Oklahoma,University of Oklahoma
Manny Harris,1989,Detroit,Michigan,University of Michigan
Patrick Patterson,1989,Washington,District of Columbia,University of Kentucky
Samardo Samuels,1989,Trelawny,Jamaica,University of Louisville
Kevin Seraphin,1989,Cayenne,French Guiana,
Willie Warren,1989,Dallas,Texas,University of Oklahoma
Hassan Whiteside,1989,Gastonia,North Carolina,Marshall University
Lavoy Allen,1989,Morrisville,Pennsylvania,Temple University
MarShon Brooks,1989,Long Branch,New Jersey,Providence College
Jimmy Butler,1989,Houston,Texas,Marquette University
Kenneth Faried,1989,Newark,New Jersey,Morehead State University
Jimmer Fredette,1989,Glens Falls,New York,Brigham Young University
Justin Harper,1989,Richmond,Virginia,University of Richmond
Josh Harrellson,1989,St. Charles,Missouri,University of Kentucky
Cory Higgins,1989,Danville,California,University of Colorado
Charles Jenkins,1989,Brooklyn,New York,Hofstra University
Jon Leuer,1989,Long Lake,Minnesota,University of Wisconsin
Chris Singleton,1989,Canton,Georgia,Florida State University
Elliot Williams,1989,Memphis,Tennessee,University of Memphis
Kent Bazemore,1989,Kelford,North Carolina,Old Dominion University
Festus Ezeli,1989,Benin City,Nigeria,Vanderbilt University
Justin Holiday,1989,Mission Hills,California,University of Washington
Orlando Johnson,1989,Monterey,California,"University of California, Santa Barbara"
Kevin Jones,1989,Mount Vernon,New York,West Virginia University
Andrew Nicholson,1989,Mississauga,Canada,St. Bonaventure University
Robert Sacre,1989,Baton Rouge,Louisiana,Gonzaga University
Dwight Buycks,1989,Milwaukee,Wisconsin,Marquette University
Nick Calathes,1989,Casselberry,Florida,University of Florida
Dewayne Dedmon,1989,Lancaster,California,University of Southern California
Elias Harris,1989,Speyer,Germany,Gonzaga University
Scotty Hopson,1989,Hopkinsville,Kentucky,University of Tennessee
Robbie Hummel,1989,Valparaiso,Indiana,Purdue University
Toure' Murry,1989,Houston,Texas,Wichita State University
Zoran Dragic,1989,Ljubljana,Slovenia,
Kalin Lucas,1989,Sterling Heights,Michigan,Michigan State University
Tibor Pleiss,1989,Bergisch Gladbach,Germany,
Malcolm Delaney,1989,Baltimore,Maryland,Virginia Polytechnic Institute and State University
Mindaugas Kuzminskas,1989,Vilnius,Lithuania,
Jrue Holiday,1990,Chatsworth,California,"University of California, Los Angeles"
Al-Farouq Aminu,1990,Atlanta,Georgia,Wake Forest University
Avery Bradley,1990,Tacoma,Washington,University of Texas at Austin
DeMarcus Cousins,1990,Mobile,Alabama,University of Kentucky
Paul George,1990,Palmdale,California,"California State University, Fresno"
Gordon Hayward,1990,Indianapolis,Indiana,Butler University
Greg Monroe,1990,New Orleans,Louisiana,Georgetown University
Lance Stephenson,1990,Brooklyn,New York,University of Cincinnati
John Wall,1990,Raleigh,North Carolina,University of Kentucky
Tyler Honeycutt,1990,Los Angeles,California,"University of California, Los Angeles"
Reggie Jackson,1990,Pordenone,Italy,Boston College
Malcolm Lee,1990,Riverside,California,"University of California, Los Angeles"
Travis Leslie,1990,Atlanta,Georgia,University of Georgia
Shelvin Mack,1990,Lexington,Kentucky,Butler University
Daniel Orton,1990,Oklahoma City,Oklahoma,University of Kentucky
Ricky Rubio,1990,Barcelona,Spain,
Iman Shumpert,1990,Oak Park,Illinois,Georgia Institute of Technology
Klay Thompson,1990,Los Angeles,California,Washington State University
Jan Vesely,1990,Ostrava,Czech Republic,
Nikola Vucevic,1990,Morges,Switzerland,University of Southern California
Quincy Acy,1990,Tyler,Texas,Baylor University
Jae Crowder,1990,Villa Rica,Georgia,Marquette University
Draymond Green,1990,Saginaw,Michigan,Michigan State University
John Henson,1990,Greensboro,North Carolina,University of North Carolina
DeQuan Jones,1990,Stone Mountain,Georgia,University of Miami
Damian Lillard,1990,Oakland,California,Weber State University
Scott Machado,1990,Queens,New York,Iona College
Fab Melo,1990,Juiz de Forz,Brazil,Syracuse University
Darius Miller,1990,Maysville,Kentucky,University of Kentucky
Donatas Motiejunas,1990,Kaunas,Lithuania,
Arnett Moultrie,1990,Queens,New York,Mississippi State University
Kevin Murphy,1990,Atlanta,Georgia,Tennessee Technological University
Kyle O'Quinn,1990,Flushing,New York,Norfolk State University
Henry Sims,1990,Baltimore,Maryland,Georgetown University
Tyshawn Taylor,1990,Hoboken,New Jersey,University of Kansas
Tyler Zeller,1990,Visalia,California,University of North Carolina
Chris Babb,1990,Arlington,Texas,Iowa State University
Lorenzo Brown,1990,Roswell,Georgia,North Carolina State University
Robert Covington,1990,Bellwood,Illinois,Tennessee State University
Seth Curry,1990,Charlotte,North Carolina,Duke University
Matthew Dellavedova,1990,Maryborough,Australia,Saint Mary's College of California
Gorgui Dieng,1990,Kebemer,Senegal,University of Louisville
Carrick Felix,1990,Las Vegas,Arizona,Arizona State University
Justin Hamilton,1990,Newport Beach,California,Louisiana State University
Ognjen Kuzmic,1990,Doboj,Bosnia and Herzegovina,
Erik Murphy,1990,Lyon,France,University of Florida
James Nunnally,1990,San Jose,California,"University of California, Santa Barbara"
Mason Plumlee,1990,Fort Wayne,Indiana,Duke University
Peyton Siva,1990,Seattle,Washington,University of Louisville
James Southerland,1990,Queens,New York,Syracuse University
D.J. Stephens,1990,,,
Casper Ware,1990,Cerritos,California,"California State University, Long Beach"
Jeff Withey,1990,San Diego,California,University of Kansas
Cameron Bairstow,1990,Brisbane,Australia,University of New Mexico
James Ennis,1990,Ventura,California,"California State University, Long Beach"
Tim Frazier,1990,Houston,Texas,Pennsylvania State University
Drew Gordon,1990,San Jose,California,University of New Mexico
JaMychal Green,1990,Montgomery,Alabama,University of Alabama
P.J. Hairston,1990,,,
Cory Jefferson,1990,Tacoma,Washington,Baylor University
Sean Kilpatrick,1990,Yonkers,New York,University of Cincinnati
Kostas Papanikolaou,1990,Trikala,Greece,
David Wear,1990,Long Beach,California,"University of California, Los Angeles"
Travis Wear,1990,Long Beach,California,"University of California, Los Angeles"
Derrick Jones,1990,Stone Mountain,Georgia,University of Miami
Nicolas Laprovittola,1990,Buenos Aires,Argentina,
Marshall Plumlee,1990,Fort Wayne,Indiana,Duke University
Derrick Favors,1991,Atlanta,Georgia,Georgia Institute of Technology
Xavier Henry,1991,Gent,Belgium,University of Kansas
Alec Burks,1991,Grandview,Missouri,University of Colorado
Cory Joseph,1991,Toronto,Canada,University of Texas at Austin
Kawhi Leonard,1991,Los Angeles,California,San Diego State University
Darius Morris,1991,Los Angeles,California,University of Michigan
Josh Selby,1991,Baltimore,Maryland,University of Kansas
Trey Thompkins,1991,Toronto,Canada,University of Texas at Austin
Tristan Thompson,1991,Toronto,Canada,University of Texas at Austin
Jeremy Tyler,1991,San Diego,California,
Will Barton,1991,Baltimore,Maryland,University of Memphis
Jared Cunningham,1991,Oakland,California,Oregon State University
John Jenkins,1991,Nashville,Tennessee,Vanderbilt University
Perry Jones,1991,Winnsboro,Louisiana,Baylor University
Doron Lamb,1991,Queens,New York,University of Kentucky
Kendall Marshall,1991,Dumfries,Virginia,University of North Carolina
Khris Middleton,1991,Charleston,South Carolina,Texas A&M University
Thomas Robinson,1991,Washington,District of Columbia,University of Kansas
Terrence Ross,1991,Portland,Oregon,University of Washington
Tornike Shengelia,1991,Tbilisi,Georgia,
Dion Waiters,1991,Philadelphia,Pennsylvania,Syracuse University
Maalik Wayns,1991,Philadelphia,Pennsylvania,Villanova University
Reggie Bullock,1991,Baltimore,Maryland,University of North Carolina
Isaiah Canaan,1991,Biloxi,Mississippi,Murray State University
Michael Carter-Williams,1991,Hamilton,Massachusetts,Syracuse University
Ian Clark,1991,Memphis,Tennessee,Belmont University
Troy Daniels,1991,Roanoke,Virginia,Virginia Commonwealth University
Brandon Davies,1991,Philadelphia,Pennsylvania,Brigham Young University
Jamaal Franklin,1991,Moreno Valley,California,San Diego State University
Solomon Hill,1991,Los Angeles,California,University of Arizona
Ryan Kelly,1991,Carmel,New York,Duke University
Ray McCallum,1991,Madison,Wisconsin,University of Detroit Mercy
C.J. McCollum,1991,,,
Mike Muscala,1991,St. Louis Park,Minnesota,Bucknell University
Nemanja Nedovic,1991,Nova Varos,Serbia,
Kelly Olynyk,1991,Toronto,Canada,Gonzaga University
Phil Pressey,1991,Dallas,Texas,University of Missouri
Tony Snell,1991,Riverside,California,University of New Mexico
Hollis Thompson,1991,Pasadena,California,Georgetown University
Nate Wolters,1991,St. Cloud,Minnesota,South Dakota State University
Furkan Aldemir,1991,Konak,Turkey,
Jerrelle Benimon,1991,Warrenton,Virginia,Towson University
Tarik Black,1991,Memphis,Tennessee,University of Kansas
Will Cherry,1991,Oakland,California,University of Montana
Jack Cooley,1991,Evanston,Illinois,University of Notre Dame
Andre Dawkins,1991,Fairfax,Virginia,Duke University
