name,yearOfBirth,birthCity,birthState,college
Antonio Lang,1966,Pine Bluff,Arkansas,University of Arkansas
Dean Garrett,1966,Los Angeles,California,Indiana University
Tony Mitchell,1966,Toledo,Ohio,Purdue University
Rex Chapman,1967,Bowling Green,Kentucky,University of Kentucky
B.J. Armstrong,1967,,,
Dana Barros,1967,Boston,Massachusetts,Boston College
Mookie Blaylock,1967,Garland,Texas,University of Oklahoma
Terry Davis,1967,Danville,Virginia,Virginia Union University
Pervis Ellison,1967,Savannah,Georgia,University of Louisville
Tom Hammonds,1967,Fort Walton,Florida,Georgia Institute of Technology
Jaren Jackson,1967,New Orleans,Louisiana,Georgetown University
George McCloud,1967,Daytona Beach,Florida,Florida State University
Glen Rice,1967,Jacksonville,Arkansas,University of Michigan
Doug West,1967,Altoona,Pennsylvania,Villanova University
Matt Bullard,1967,Des Moines,Iowa,University of Iowa
Derrick Coleman,1967,Mobile,Alabama,Syracuse University
Tony Massenburg,1967,Sussex,Virginia,University of Maryland
Terry Mills,1967,Romulus,Michigan,University of Michigan
Greg Anthony,1967,Las Vegas,Nevada,"University of Nevada, Las Vegas"
Chris Gatling,1967,Elizabeth,New Jersey,Old Dominion University
Chris Childs,1967,Bakersfield,California,Boise State University
Eldridge Recasner,1967,New Orleans,Louisiana,University of Washington
Tobias Harris,1967,Monroe,Louisiana,University of New Orleans
Nick Anderson,1968,Chicago,Illinois,University of Illinois at Urbana-Champaign
Chucky Brown,1968,New York,New York,North Carolina State University
Vlade Divac,1968,Prijepolje,Serbia,
Sean Elliott,1968,Tucson,Arizona,University of Arizona
Dee Brown,1968,Jacksonville,Florida,Jacksonville University
Jud Buechler,1968,San Diego,California,University of Arizona
Elden Campbell,1968,Los Angeles,California,Clemson University
Duane Causwell,1968,Queens Village,New York,Temple University
Bimbo Coles,1968,Covington,Virginia,Virginia Polytechnic Institute and State University
Greg Foster,1968,Oakland,California,University of Texas at El Paso
Kendall Gill,1968,Chicago,Illinois,University of Illinois at Urbana-Champaign
Tyrone Hill,1968,Cincinnati,Ohio,Xavier University
Gary Payton,1968,Oakland,California,Oregon State University
Larry Robinson,1968,Bossier City,Louisiana,Centenary College of Louisiana
Dennis Scott,1968,Hagerstown,Maryland,Georgia Institute of Technology
Tony Smith,1968,,,
Felton Spencer,1968,Louisville,Kentucky,University of Louisville
Loy Vaught,1968,Grand Rapids,Michigan,University of Michigan
Scott Williams,1968,Hacienda Heights,California,University of North Carolina
Stacey Augmon,1968,Pasadena,California,"University of Nevada, Las Vegas"
David Benoit,1968,Lafayette,Louisiana,University of Alabama
Pete Chilcutt,1968,Sumter,South Carolina,University of North Carolina
Marty Conlon,1968,Bronx,New York,Providence College
Eric Murdock,1968,Somerville,New Jersey,Providence College
Derek Strong,1968,Los Angeles,California,Xavier University
Brent Price,1968,Shawnee,Oklahoma,University of Oklahoma
Michael Curry,1968,Anniston,Alabama,Georgia Southern University
Antonio Davis,1968,Oakland,California,University of Texas at El Paso
Reggie Jordan,1968,Chicago,Illinois,New Mexico State University
Toni Kukoc,1968,Split,Croatia,
Darrell Armstrong,1968,Gastonia,North Carolina,Fayetteville State University
Emanual Davis,1968,Philadelphia,Pennsylvania,Delaware State University
Jason Williams,1968,Ritter,South Carolina,St. John's University
Devin Brown,1968,Jacksonville,Florida,Jacksonville University
Jay Williams,1968,Ritter,South Carolina,St. John's University
Jawad Williams,1968,Ritter,South Carolina,St. John's University
Derrick Brown,1968,Jacksonville,Florida,Jacksonville University
Anthony Davis,1968,Oakland,California,University of Texas at El Paso
Nando De,1968,,,
Gary Payton,1968,Oakland,California,Oregon State University
Shawn Kemp,1969,Elkhart,Indiana,Trinity Valley Community College
Cedric Ceballos,1969,Maui,Hawaii,"California State University, Fullerton"
Victor Alexander,1969,Detroit,Michigan,Iowa State University
Isaac Austin,1969,Gridley,California,Arizona State University
Dale Davis,1969,Toccoa,Georgia,Clemson University
Rick Fox,1969,Toronto,Canada,University of North Carolina
Luc Longley,1969,Melbourne,Australia,University of New Mexico
Billy Owens,1969,Carlisle,Pennsylvania,Syracuse University
Robert Pack,1969,New Orleans,Louisiana,University of Southern California
Elliot Perry,1969,Memphis,Tennessee,University of Memphis
Bobby Phills,1969,Baton Rouge,Louisiana,Southern University and A&M College
Steve Smith,1969,Highland Park,Michigan,Michigan State University
Anthony Avent,1969,Rocky Mount,North Carolina,Seton Hall University
Jon Barry,1969,Oakland,California,Georgia Institute of Technology
John Crotty,1969,Orange,New Jersey,University of Virginia
Matt Geiger,1969,Salem,Massachusetts,Georgia Institute of Technology
Tom Gugliotta,1969,Huntington Station,New York,North Carolina State University
Christian Laettner,1969,Angola,New York,Duke University
Doug Overton,1969,Philadelphia,Pennsylvania,La Salle University
Anthony Peeler,1969,Kansas City,Missouri,University of Missouri
Sean Rooks,1969,New York,New York,University of Arizona
Lorenzo Williams,1969,Ocala,Florida,Stetson University
