voiceActor,movie,character
Ilene Woods,Cinderella,Cinderella
Jeff Bennett,Disney Fairies,Clank
Florence Gill,Orphan's Benefit,Clara Cluck
Marcellite Garner,Plane Crazy,Clarabelle Cow
Brian Blessed,Tarzan,Clayton
Vanéese Y. Thomas,Hercules,Clio
Paul Kandel,The Hunchback of Notre Dame,Clopin Trouillefou
Amanda Plummer,Hercules,Clotho
Wayne Brady,Sofia the First,Clover
Charles Judels,Pinocchio,The Coachman
Ving Rhames,Lilo & Stitch,Cobra Bubbles
Robert Holt,Bedknobs and Broomsticks,Codfish
Adam Ryen,The Rescuers Down Under,Cody
David Ogden Stiers,Beauty and the Beast,Cogsworth
Kath Soucie,Lady and the Tramp II: Scamp's Adventure,Colette
J. Pat O'Malley,101 Dalmatians,The Colonel
J. Pat O'Malley,The Jungle Book,Colonel Hathi
James Garner,Atlantis: The Lost Empire,Commander Lyle Rourke
Jim Varney,Atlantis: The Lost Empire,Cookie
Corey Feldman,The Fox and the Hound,Copper
Tom Selleck,Meet the Robinsons,Cornelius Robinson
Randy Newman,The Princess and the Frog,Cousin Randy
Jeff Bennett,Belle's Magical World,Crane
Phil Fondacaro,The Black Cauldron,Creeper
Betty Lou Gerson,101 Dalmatians,Cruella de Vil
Cymbre Walk,Wreck-It Ralph,Crumbelina DiCaramello
Robert Ellis,Peter Pan,Cubby
J. Pat O'Malley,The Adventures of Ichabod and Mr. Toad,Cyril Proudbottom
Clarence Nash,Mr. Duck Steps Out,Daisy Duck
Dessie Flynn,Private Pluto,Dale
Freddie Jones,The Black Cauldron,Dallben
Kath Soucie,Lady and the Tramp II: Scamp's Adventure,Danielle
Andrew McDonough,Return to Never Land,Danny
Chloë Grace Moretz,My Friends Tigger & Pooh,Darby
Peggy Lee,Lady and the Tramp,Darling
Stephen Furst,The Little Mermaid II: Return to the Sea,Dash
Jason Scott Lee,Lilo & Stitch,David Kawena
Wayne Knight,Hercules,Demetrius
Jason Raize,Brother Bear,Denahi
Peter Renaday,Darkwing Duck,Derek Blunt
Carl Weintraub,Oliver & Company,DeSoto
Clarence Nash,Donald's Nephews,Dewey
Justin Berfield,The Country Bears,Dex Barrington
Dub Taylor,The Rescuers,Digger the Mole
Richard Libertini,DuckTales,Dijon the Thief
Richard Bakalyan,The Fox and the Hound,Dinky
James Lipton,Bolt,The Director
Reba McEntire,The Fox and the Hound 2,Dixie
Lord Tim Hudson,The Jungle Book,Dizzie the Vulture
Roy Atwell,Snow White and the Seven Dwarfs,Doc
Bernard Fox,The Rescuers Down Under,Doctor Mouse
Billy Joel,Oliver & Company,Dodger
Bill Thompson,Alice in Wonderland,The Dodo
Jeff Bennett,Lady and the Tramp II: Scamp's Adventure,The Dog Catcher
John Byner,The Black Cauldron,Doli
Jim Cummings,TaleSpin,Don Karnage
Clarence Nash,The Wise Little Hen,Donald Duck
Brian Cummings,DuckTales,Doofus Drake
Joseph Kearns,Alice in Wonderland,The Doorknob
Don Barclay,Cinderella,The Doorman
Eddie Collins,Snow White and the Seven Dwarfs,Dopey
Ethan Sandler,Meet the Robinsons,Doris
Jimmy MacDonald,Alice in Wonderland,The Dormouse
Rich Moore,Zootopia,Doug Ramses
Malcolm McDowell,Bolt,Dr. Calico
Val Bettin,The Great Mouse Detective,Dr. David Q. Dawson
David Hyde Pierce,Treasure Planet,Dr. Doppler
Keith David,The Princess and the Frog,Dr. Facilier
Ronn Moss,Bolt,Dr. Forrester
Jeff Bennett,Stitch! The Movie,Dr. Jacques von Hamsterviel
Phil Morris,Atlantis: The Lost Empire,Dr. Joshua Sweet
